Provinsi,Kecepatan,Kelembaban
Aceh,2.71,80
Sumatera_Utara,2.38,86.9
Sumatera_Barat,2.88,84
Riau,2.97,80.5
Jambi,2.39,82.1
Sumatera_Selatan,3.32,79.5
Bengkulu,2.12,83.2
Lampung,1.95,78.9
Kepulauan_Bangka_Belitung,4.05,79.9
Kepulauan_Riau,3.16,84.1
DKI_Jakarta,1.54,74
Jawa_Barat,2.14,74.4
Jawa_Tengah,2.83,70
DI_Yogyakarta,0.07,82.8
Jawa_Timur,3.88,75.2
Banten,0.99,79.3
Bali,3.27,79.1
Nusa_Tenggara_Barat,3.27,81.4
Nusa_Tenggara_Timur,4.04,75.6
Kalimantan_Barat,1.75,85.7
Kalimantan_Tengah,2.17,80.5
Kalimantan_Selatan,1.92,81.2
Kalimantan_Timur,1.96,79.7
Kalimantan_Utara,2.2,83.7
Sulawesi_Utara,2.92,75.6
Sulawesi_Tengah,2.32,72.6
Sulawesi_Selatan,2.89,75.2
Sulawesi_Tenggara,1.27,83.1
Gorontalo,1.95,77.5
Sulawesi_Barat,1.93,77.2
Maluku,2.35,83.6
Maluku_Utara,2.6,78.3
Papua_Barat,1.54,83.6
Papua,2.6,75.5
