Provinsi,Luas,PresentaseTerhadapLuasIndonesia,JumlahPulau
Aceh,57956,3.03,663
Sumatera_Utara,72981.23,3.81,419
Sumatera_Barat,42012.89,2.2,391
Riau,87023.66,4.55,139
Kepulauan_Riau,8201.72,0.43,2408
Jambi,50058.16,2.62,19
Sumatera_Selatan,91592.43,4.79,53
Kepulauan_Bangka_Belitung,16424.06,0.86,950
Bengkulu,19919.33,1.04,47
Lampung,34623.8,1.81,188
Daerah_Khusus_Ibukota_Jakarta,664.01,0.03,218
Jawa_Barat,35377.76,1.85,131
Banten,9662.92,0.5,131
Jawa_Tengah,32800.69,1.71,296
Daerah_Istimewa_Yogyakarta,3133.15,0.16,23
Jawa_Timur,47799.75,2.5,287
Bali,5780.06,0.3,85
Nusa_Tenggara_Barat,18572.32,0.97,864
Nusa_Tenggara_Timur,48718.1,2.55,1192
Kalimantan_Barat,147307,7.7,339
Kalimantan_Tengah,153564.5,8.02,32
Kalimantan_Selatan,38744.23,2.02,320
Kalimantan_Timur,129066.64,6.74,370
Kalimantan_Utara,75467.7,3.94,0
Sulawesi_Utara,13851.64,0.72,668
Gorontalo,11257.07,0.59,136
Sulawesi_Tengah,61841.29,3.23,750
Sulawesi_Selatan,46717.48,2.44,295
Sulawesi_Barat,16787.18,0.88,0
Sulawesi_Tenggara,38067.7,1.99,651
Maluku,46914.03,2.45,1422
Maluku_Utara,31982.5,1.67,1474
Papua,319036.05,16.67,598
Papua_Barat,99671.63,5.21,1945
